"-- Please Select --","-- Veuillez sélectionner --"
"Customers in Segment","Clients dans un segment"
"Customer Time-based","Basé sur l'heure du client"
"days","Jours"
"Days Inactive (No Login or Order)","Jours inactifs (pas de connexion ou de commande)"
"Days Since Added to Wishlist","Jours depuis ajoutés à la liste d'envies"
"Days Since First Order","Jours depuis la première commande"
"Days Since Last Login","Jours depuis la dernière connexion"
"Days Since Last Order","Jours depuis la dernière commande"
"Days Since Last View","Jours depuis la dernière vue"
"Days Since Registration","Jours depuis l'inscription"
"Days Until Birthday","Jours jusqu'à l'anniversaire"
"Days Without Purchase","Jours sans achat"
"Delay","Délai"
"Delay (Minutes)","Délai (minutes)"
"Delay before sending","Délai avant envoi"
"Delay minutes cannot be negative.","Les minutes de retard ne peuvent pas être négatives."
"Delete","Supprimez"
"Delete Email Sequences","Supprimer les séquences d'email"
"Delete Segment","Supprimer le segment"
"Delete Segments","Supprimer les segments"
"Delete Step","Supprimer l'étape"
"Disabled","Désactivé"
"Downloadable Product","Produit téléchargeable"
"E-mails on Enter","E-mails sur Entrée"
"E-mails on Exit","E-mails à la sortie"
"Edit","Editer"
"Edit Email Sequence Step %d for ""%s""","Modifier l'étape de séquence d'email %d pour ""%s"""
"Edit Segment","Modifier le segment"
"Edit Segment '%s'","Modifier le segment '%s'"
"Edit Sequence","Modifier la séquence"
"Email Automation","Email Automation"
"Email Automation Settings","Paramètres d'automatisation des emails"
"Email Sequences","Séquences d'email"
"Email Template","Modèle d'email"
"Enable/disable this sequence step","Activer/désactiver cette étape de séquence"
"Enable Email Automation","Activer l'automatisation des emails"
"Enter Segment","Entrez le segment"
"Error","Erreur"
"Exit Segment","Quitter le segment"
"Expires After (Days)","Expire après (jours)"
"Failed","Echoué"
"General Properties","Propriétés Générales"
"Generate a unique coupon code for each customer","Générer un code coupon unique pour chaque client"
"Generate Coupon","Générer un bon de réduction"
"Generate unique coupon","Générer un coupon unique"
"Grouped Product","Produit groupé"
"hours","heures"
"If %s %s %s","Si %s %s %s"
"Immediate","Immédiatement"
"Invalid newsletter template selected.","Modèle de newsletter invalide sélectionné."
"Invalid request.","Requête invalide."
"Invalid sales rule selected for coupon generation.","Règle de vente invalide sélectionnée pour la génération de coupons."
"Invalid segment.","Segment invalide."
"Invalid status.","Statut invalide."
"Invalid trigger type.","Type de déclencheur invalide."
"Is Active","Est actif"
"Items Count","Nombre d'articles"
"Items Quantity","Quantité d'articles"
"Last Refreshed","Dernière mise à jour"
"Last Updated Date","Date de dernière mise à jour"
"Last Viewed Date","Date de dernière consultation"
"Last Viewed Date","Date de dernière consultation"
"Leave empty to apply to all customer groups","Laisser vide pour appliquer à tous les groupes de clients"
"Lifetime Profit (Sales - Refunds)","Profit à vie (Remboursements)"
"Lifetime Refunds Amount","Montant des remboursements à vie"
"Lifetime Sales Amount","Montant des ventes à vie"
"Manage Email Sequences","Gérer les séquences d'e-mails"
"Manage Segments","Gérer les segments"
"Manual","Manuelle"
"Master switch to enable/disable all email automation for this segment","Basculement principal pour activer/désactiver toute l'automatisation des e-mails pour ce segment"
"minutes","minutes"
"Minutes to wait before sending (0 = immediate, 60 = 1 hour, 1440 = 1 day)","Minutes à attendre avant d'envoyer (0 = immédiat, 60 = 1 heure, 1440 = 1 jour)"
"Mode","Mode"
"New Email Sequence Step for ""%s""","Nouvelle étape de séquence d'email pour «%s»"
"New Segment","Nouveau segment"
"New Sequence","Nouvelle séquence"
"Newsletter","Newsletter"
"Newsletter Subscription","Abonnement à la newsletter"
"Newsletter Template","Modèle de newsletter"
"Newsletter template to use for this step","Modèle de newsletter à utiliser pour cette étape"
"None","Aucun"
"Not Active","Non Actif"
"Number of days until coupon expires (default: 30)","Nombre de jours avant l'expiration du coupon (par défaut: 30)"
"Number of Orders","Nombre de commandes"
"Order","Commandes"
"Order History","Historique des commandes"
"Order in the email sequence (1, 2, 3...)","Trier dans la séquence d'email (1, 2, 3...)"
"Pending","En attente"
"Personal Information","Informations personnelles"
"Please save the segment first.","Veuillez d'abord enregistrer le segment."
"Please select...","Veuillez sélectionner..."
"Please select at least one website.","Veuillez sélectionner au moins un site Web."
"Please select segment(s).","Veuillez sélectionner le(s) segment(s)."
"Prefix for coupon codes","Préfixe pour les codes promo"
"Prefix for generated coupon codes (e.g., CART, WELCOME)","Préfixe pour les codes de coupon générés (par exemple, CART, WELCOME)"
"Processing","Traitement en cours"
"Product: %s","Produit : %s"
"Product Type","Type de produit"
"Progress record already exists for this customer and sequence.","L'enregistrement de progression existe déjà pour ce client et cette séquence."
"Purchase Date","Date d'achat"
"Quantity in Cart","Quantité dans le panier"
"Quantity Ordered","Quantité commandée"
"Refresh Mode","Mode de rafraîchissement"
"Refresh Segments","Rafraîchir les segments"
"Row Total","Total ligne"
"Row Total (Inc. Tax)","Total de la ligne (TTC)"
"Sales rule does not exist.","La règle de vente n'existe pas."
"Sales rule is not active.","La règle de vente n'est pas active."
"Sales rule is required when coupon generation is enabled.","La règle de vente est requise lorsque la génération de coupon est activée."
"Sales rule must be configured for specific coupon codes.","La règle de vente doit être configurée pour des codes de coupon spécifiques."
"Sales rule must have auto-generation enabled.","La règle de vente doit avoir la génération automatique activée."
"Sales rule to base coupon on","Règle de vente pour baser le coupon sur"
"Sales rule to use as template for generated coupons","Règle de vente à utiliser comme modèle pour les coupons générés"
"Save and Continue Edit","Enregistrer et continuer l'édition"
"Save Email Sequences","Enregistrer les séquences d'email"
"Save Segment","Enregistrer le segment"
"Save Segments","Enregistrer les segments"
"Scheduled","Planifié"
"Segment ID is required.","L'ID du segment est requis."
"Segment Information","Informations sur le segment"
"Segment Name","Nom du segment"
"Segment name is required.","Le nom du segment est requis."
"Segment Refresh Cron Schedule","Rafraîchir le calendrier Cron du segment"
"Selected sales rule is not active.","La règle de vente sélectionnée n'est pas active."
"Selected sales rule must be configured for ""Specific Coupon"" type.","La règle de vente sélectionnée doit être configurée pour le type ""Coupon spécifique""."
"Selected sales rule must have ""Use Auto Generation"" enabled.","La règle de vente sélectionnée doit avoir l'option ""Utiliser la génération automatique"" activée."
"Sent","Envoyé"
"Sequence ID is required.","L'ID de la séquence est requis."
"Sequence not found.","Séquence introuvable."
"Sequence step %d: %s","Étape de séquence %d: %s"
"Sequence Step Settings","Paramètres de l'étape de séquence"
"Shopping Cart","Panier"
"Shopping Cart Information","Informations sur le panier"
"Simple Product","Produit simple"
"Skipped","Ignoré"
"Statistics","Statistiques"
"Status Change Date","Date de changement de statut"
"Step","Étape"
"Step Number","Numéro de l'étape"
"Step number %d already exists for this segment %s trigger.","Le numéro d'étape %d existe déjà pour le déclencheur de ce segment %s."
"Step number must be greater than 0.","Le nombre d'étapes doit être supérieur à 0."
"Subject","Sujet"
"Subscription Status","Statut de l'abonnement"
"Template ID is required.","L'ID du modèle est requis."
"The email sequence has been deleted.","La séquence d'email a été supprimée."
"The email sequence has been saved.","La séquence d'email a été enregistrée."
"The segment has been deleted.","Le segment a été supprimé."
"The segment has been refreshed.","Le segment a été actualisé."
"The segment has been saved.","Le segment a été enregistré."
"This segment no longer exists.","Ce segment n'existe plus."
"This sequence no longer exists.","Cette séquence n'existe plus."
"Total of %d record(s) were deleted.","Total of %d record(s) were deleted."
"Total of %d record(s) were updated.","Total of %d record(s) were updated."
"Total Ordered Amount","Montant total commandé"
"Trigger event must be either ""enter"" or ""exit"".","L'événement de déclenchement doit être soit ""entrée"" soit ""exit""."
"Unable to find a segment to refresh.","Impossible de trouver un segment à rafraîchir."
"Unknown Segment","Segment inconnu"
"View","Voir"
"View Count","Nombre de vues"
"View Customers in Segment","Voir les clients dans le segment"
"Viewed","Consulté"
"Viewed Products","Produits consultés"
"Virtual Product","Produit virtuel"
"When customer enters segment","Quand le client entre dans le segment"
"When customer exits segment","Quand le client quitte le segment"
"Wishlist","Liste d'envies"
"Wishlist Items Count","Nombre d'articles de la liste d'envies"
"Wishlist Shared","Liste d'envies partagée"
