"-- Please Select --","-- Veuillez sélectionner --"
"Gift Cards Configuration","Configuration des cartes-cadeaux"
"Gift Card Transaction History","Historique des transactions par carte-cadeau"
"Gift card was removed.","La carte-cadeau a été retirée."
"Gift Certificates","Certificats-cadeaux"
"Inactive","Inactif"
"Initial Balance","Solde initial"
"Invalid form key. Please refresh the page and try again.","Clé de formulaire invalide. Veuillez rafraîchir la page et réessayer."
"Invalid gift card code.","Code de carte cadeau invalide."
"Invalid request.","Requête invalide."
"Leave blank for immediate delivery","Laisser vide pour une livraison immédiate"
"Leave empty to use system default. 0 = never expires.","Laisser vide pour utiliser le système par défaut. 0 = n'expire jamais."
"Lifetime (days)","Durée de vie (jours)"
"Lost cards not replaced","Cartes perdues non remplacées"
"Manage Gift Cards","Gérer les cartes-cadeaux"
"Maximum Amount","Montant maximum"
"Message:","Message :"
"Minimum Amount","Montant minimum"
"New Gift Card","Nouvelle carte-cadeau"
"Not redeemable for cash","Non échangeable contre de l'argent"
"Optional","Optionnel"
"Order #","N° de commande"
"Order History","Historique des commandes"
"Other Amount","Autre montant"
"Personal Message","Message personnel"
"Please enter a gift card code.","Veuillez entrer un code de carte-cadeau."
"Please select a valid gift card amount","Veuillez sélectionner un montant de carte-cadeau valide"
"Please select gift card(s).","Veuillez sélectionner une carte cadeau."
"Price varies","Le prix varie"
"Print PDF","Print PDF"
"QR Code & Barcode","QR Code & Barcode"
"Recipient Email","E-mail du destinataire"
"Recipient Name","Nom du destinataire"
"Refund Expiration Extension (days)","Extension d'expiration du remboursement (jours)"
"Refund to Gift Card","Remboursement en carte-cadeau"
"Remove","Retirer"
"Save And Continue Edit","Enregistrer et continuer à modifier"
"Save Gift Card","Enregistrer la carte-cadeau"
"Schedule Delivery","Planifier la livraison"
"Select Amount","Sélectionner le montant"
"Send Email","Envoyer un e-mail"
"Send gift card email to %s?","Envoyer un e-mail de carte cadeau à %s?"
"Show Barcode (Code128)","Show Barcode (Code128)"
"Show QR Code","Show QR Code"
"Status","Statut"
"The gift card has been deleted.","Le bon-cadeau a été supprimé."
"The gift card has been saved.","Le bon-cadeau a été enregistré."
"This gift card no longer exists.","Ce bon-cadeau n'existe plus."
"This is a required field.","Ce champ est obligatoire."
"To","À"
"Too many attempts. Please wait a moment and try again.","Trop de tentatives. Veuillez patienter un instant et réessayer."
"Total: %s","Total : %s"
"Unable to check balance.","Impossible de vérifier le solde."
"Unable to find a gift card to delete.","Impossible de trouver une carte-cadeau à supprimer."
"Unknown","Inconnu"
"Updated At","Mis à jour le"
"Used","Utilisé"
"Use Default (%s)","Utiliser par défaut (%s)"
"View","Voir"
"Website","Site Web"
"When refunding to an expired gift card, extend expiration by this many days. 0 = no extension (card stays expired but balance is restored).","En cas de remboursement à une carte cadeau expirée, prolongez l'expiration de ce nombre de jours. 0 = aucune extension (la carte reste expirée mais le solde est restauré)."
"Your Email","Votre adresse e-mail"
"Your Name","Votre nom"
