"%d product(s) were updated","%d product(s) were updated"
"%s (Default Template from Locale)","%s (Modèle par défaut à partir de la région)"
"%s cache type(s) disabled.","Type de cache %s désactivé."
"%s cache type(s) enabled.","Type de cache %s activé."
"%s cache type(s) refreshed.","%s type(s) de cache actualisé."
"All possible rates were fetched, please click on ""Save"" to apply","Tous les taux possibles ont été récupérés, veuillez cliquer sur ""Enregistrer"" pour appliquer"
"All rates were fetched, please click on ""Save"" to apply","Tous les tarifs ont été récupérés, veuillez cliquer sur ""Enregistrer"" pour appliquer"
"All Reviews","Tous les commentaires"
"All Store Views","Toutes les vues magasin"
"All Tags","Toutes les balises"
"All valid rates have been saved.","Tous les tarifs valides ont été enregistrés."
"All Websites","Tous les sites Web"
"Alt text:","Texte Alt :"
"Always (during development)","Toujours (pendant le développement)"
"Amounts","Montants"
" and "," et "
"An error occurred: %s","Une erreur est survenue : %s"
"An error occurred while adding condition.","Une erreur s'est produite lors de l'ajout de la condition."
"An error occurred while clearing the configurable swatches image cache.","Une erreur est survenue lors de l'effacement du cache d'images configurables pour les swatches."
"An error occurred while clearing the image cache.","Une erreur s'est produite lors de l'effacement du cache d'image."
"An error occurred while clearing the minified CSS/JS cache.","Une erreur est survenue lors de l'effacement du cache CSS/JS minifié."
"An error occurred while deleting email log entries.","Une erreur s'est produite lors de la suppression des entrées du journal d'e-mail."
"An error occurred while deleting email template data. Please review log and try again.","Une erreur s'est produite lors de la suppression des données du modèle d'e-mail. Veuillez vérifier le journal et réessayer."
"An error occurred while deleting record(s).","Une erreur s'est produite lors de la suppression des enregistrements."
"An error occurred while deleting this role.","Une erreur s'est produite lors de la suppression de ce rôle."
"An error occurred while deleting this set.","Une erreur s'est produite lors de la suppression de cet ensemble."
"An error occurred while deleting this template.","Une erreur s'est produite lors de la suppression de ce modèle."
"An error occurred while deleting URL Rewrite.","Une erreur s'est produite lors de la suppression de la réécriture d'URL."
"An error occurred while finishing process. Please refresh the cache","Une erreur s'est produite lors de la fin du processus. Veuillez actualiser le cache"
"An error occurred while logging in.","Une erreur s'est produite lors de la connexion."
"An error occurred while rebuilding the catalog index.","Une erreur s'est produite lors de la reconstruction de l'index du catalogue."
"An error occurred while rebuilding the CatalogInventory Stock Status.","Une erreur s'est produite lors de la reconstruction du statut du stock du catalogue."
"An error occurred while rebuilding the flat catalog category.","Une erreur s'est produite lors de la reconstruction de la catégorie de catalogue à plat."
"An error occurred while rebuilding the flat product catalog.","Une erreur s'est produite lors de la reconstruction du catalogue de produits à plat."
"An error occurred while rebuilding the search index.","Une erreur s'est produite lors de la reconstruction de l'index de recherche."
"An error occurred while refreshing roles.","Une erreur s'est produite lors de l'actualisation des rôles."
"An error occurred while refreshing the Catalog Rewrites.","Une erreur est survenue lors de l'actualisation des réécritures du catalogue."
"An error occurred while refreshing the catalog rewrites.","Une erreur s'est produite lors de l'actualisation des réécritures du catalogue."
"An error occurred while refreshing the Layered Navigation indices.","Une erreur est survenue lors de l'actualisation des indices de navigation par facteurs."
"An error occurred while refreshing the layered navigation indices.","Une erreur est survenue lors de l'actualisation des indices de navigation par facture."
"An error occurred while saving account.","Une erreur s'est produite lors de l'enregistrement du compte."
"An error occurred while saving review.","Une erreur s'est produite lors de l'enregistrement du commentaire."
"An error occurred while saving the customer.","Une erreur s'est produite lors de l'enregistrement du client."
"An error occurred while saving this configuration:","Une erreur est survenue lors de l'enregistrement de cette configuration :"
"An error occurred while saving this role.","Une erreur s'est produite lors de l'enregistrement de ce rôle."
"An error occurred while saving this template.","Une erreur s'est produite lors de l'enregistrement de ce modèle."
"An error occurred while saving URL Rewrite.","Une erreur s'est produite lors de l'enregistrement de la réécriture d'URL."
"An error occurred while sending the test email.","Une erreur s'est produite lors de l'envoi de l'e-mail de test."
"An error occurred while updating the email address.","Une erreur s'est produite lors de la mise à jour de l'adresse e-mail."
"An error occurred while updating the selected review(s).","Une erreur s'est produite lors de la mise à jour des revues sélectionnées."
"Any","N'importe quel"
"Any Attribute Set","N'importe quel jeu d'attributs"
"Any Group","N'importe quel groupe"
"Any Status","N'importe quel statut"
"Any Type","N'importe quel type"
"Any Visibility","N'importe quelle visibilité"
"API Key","Clé API"
"API Key Confirmation","Confirmation de la clé API"
"Archive file name:","Nom du fichier d'archive :"
"Area","Zone de stockage"
"Are you sure you want to delete the selected URL rewrites?","Êtes-vous sûr de vouloir supprimer les réécritures d'URL sélectionnées ?"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"ASCII","ASCII"
"Assigned","Assigné"
"Associated Tags","Tags associés"
"At least one currency has to be allowed.","Au moins une monnaie doit être autorisée."
"Attributes","Attributs"
"Attribute Set Name:","Nom du jeu d'attributs :"
"A user with the same user name or email already exists.","Un utilisateur avec le même nom d'utilisateur ou adresse e-mail existe déjà."
"Authorization confirmed","Autorisation confirmée"
"Authorize","Autoriser"
"Authorize application","Autoriser l'application"
"Authorized OAuth Tokens","Jetons OAuth autorisés"
"Automatic (equalize price ranges)","Automatique (égaliser les tranches de prix)"
"Automatic (equalize product counts)","Automatique (égaliser le nombre de produits)"
"Average","Moyenne"
"Average Order Amount","Montant moyen de la commande"
"Back","Précédent"
"Backend Locale","Locale du backend"
"Base currency","Devise de base"
"Bcc","Cci"
"Bestsellers","Bestsellers"
"Billing Address","Adresse de facturation"
"Billing Address: ","Adresse de facturation : "
"Billing Agreement","Contrat de facturation"
"Billing Agreements","Accords de facturation"
"BINARY","BINAIRE"
"Block Details","Détails du bloc"
"Block has been deleted.","Le bloc a été supprimé."
"Block Information","Informations sur le bloc"
"Block Name","Nom du bloc"
"Block Name is disallowed.","Le nom du bloc n'est pas autorisé."
"Block Name is incorrect.","Le nom du bloc est incorrect."
"Block Name is required field.","Le nom du bloc est obligatoire."
"Blocks","Blocs"
"Both (without and with tax)","Les deux (hors taxes et avec taxe)"
"Browse Files...","Parcourir les fichiers..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Les paquets avec des prix dynamiques ne peuvent pas inclure des options personnalisées définies. Les options ne seront pas enregistrées."
"By Email","Par e-mail"
"By IP","Par IP"
"By IP and Email","Par IP et Email"
"Cache Control","Contrôle du cache"
"Cache Control (beta)","Contrôle du cache (bêta)"
"Cache Management","Gestion du cache"
"Cache Type","Cache Type"
"Cancel","Abandonner"
"Cannot add new comment.","Impossible d'ajouter un nouveau commentaire."
"Cannot add tracking number.","Impossible d'ajouter le numéro de suivi."
"Cannot create an invoice without products.","Impossible de créer une facture sans produits."
"Cannot create credit memo for the order.","Impossible de créer un avoir pour la commande."
"Cannot delete the design change.","Impossible de supprimer le changement de design."
"Cannot delete tracking number.","Impossible de supprimer le numéro de suivi."
"Cannot do shipment for the order.","Impossible de faire l'expédition pour la commande."
"Cannot do shipment for the order separately from invoice.","Impossible de faire l'expédition pour la commande séparément de la facture."
"Cannot initialize shipment for adding tracking number.","Impossible d'initialiser l'expédition pour ajouter un numéro de suivi."
"Cannot initialize shipment for delete tracking number.","Impossible d'initialiser l'expédition pour supprimer le numéro de suivi."
"Cannot load track with retrieving identifier.","Impossible de charger la piste avec l'identifiant de récupération."
"Cannot retrieve tracking number detail.","Impossible de récupérer les détails du numéro de suivi."
"Cannot save shipment.","Impossible d'enregistrer l'expédition."
"Cannot save the credit memo.","Impossible d'enregistrer l'avoir."
"Cannot send shipment information.","Impossible d'envoyer les informations d'expédition."
"Cannot update item quantity.","Impossible de mettre à jour la quantité d'article."
"Cannot update the item's quantity.","Impossible de mettre à jour la quantité de l'article."
"Card Verification Number","Numéro de vérification de la carte"
"Catalog","Catalogue"
"Catalog Price Rules","Règles de prix catalogue"
"Catalog Rewrites","Réécritures du catalogue"
"Categories","Catégories"
"Category","Catégorie"
"Category:","Catégorie:"
"Change Password","Changer le mot de passe"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","Le graphique est désactivé. Si vous voulez activer le graphique, cliquez sur <a href=""%s"">ici</a>."
"Checkbox","Case à cocher"
"Child Transactions","Transactions enfants"
"Choose an attribute","Choisir un attribut"
"Choose Store View:","Choisir la vue magasin :"
"Chosen category does not associated with any website, so url rewrite is not possible.","La catégorie choisie n'est associée à aucun site web, donc la réécriture d'url n'est pas possible."
"Chosen product does not associated with any website, so url rewrite is not possible.","Le produit choisi n'est associé à aucun site web, donc la réécriture d'url n'est pas possible."
"Clear","Nettoyer"
"Close","Fermer"
"close","Fermer"
"CMS","CMS"
"Code","Code"
"Color scheme","Schéma de couleurs"
"Color scheme: dark","Schéma de couleur: sombre"
"Color scheme: follow system","Schéma de couleurs: suivre le système"
"Color scheme: light","Schéma de couleur: lumière"
"Comment text field cannot be empty.","Le champ de texte du commentaire ne peut pas être vide."
"Compiled observers, cron jobs, routes, and API permissions.","Des observateurs compilés, des tâches cron, des itinéraires et des autorisations d'API."
"Config form fieldset clone model required to be able to clone fields","Le modèle de clone de champs de formulaire de configuration est requis pour pouvoir cloner des champs"
"Configuration","Configuration"
"Confirmation Of Authorization","Confirmation d'autorisation"
"Confirmed email:","E-mail confirmé:"
"Confirm New Password","Confirmer le nouveau mot de passe"
"Confirm token authorization for admin","Confirmer l'autorisation de jeton pour l'administrateur"
"Confirm token authorization Pop Up for admin","Confirmer le pop d'autorisation de jeton pour l'administrateur"
"Continue","Continuer"
"Convert to Plain Text","Convertir en texte brut"
"Country","Pays"
"Country:","Pays:"
"Coupon Discount (Formatted Text)","Remise sur le bon de réduction (texte formaté)"
"Coupon Discount Amount (Raw Number)","Montant de remise du coupon (nombre brut)"
"Coupons","Coupons"
"Create","Créer"
"Created At","Créé le"
"Create DB Backup","Créer une sauvegarde DB"
"Create URL Rewrite:","Create URL Rewrite:"
"Credit Card %s","Carte de crédit %s"
"Credit Card Number","Numéro de carte de crédit"
"Credit Card Type","Type de carte de crédit"
"Credit memo #%s comment added","Avoir #%s commentaire ajouté"
"Credit memo #%s created","Avoir #%s créé"
"Credit memo's total must be positive.","Le total de l'avoir doit être positif."
"Credit Memo History","Historique de l'avoir"
"Credit Memos","Avoirs"
"Credit Memo Totals","Totaux de l'avoir"
"CRITICAL","CRITIQUE"
"Critical","Critique"
"critical","critique"
"CSV","CSV"
"CSV / Tab separated","CSV / Onglets séparés"
"Currency","Devise"
"Currency ""%s"" is used as %s in %s.","La devise «%s» est utilisée comme %s dans %s."
"Currency doesn't exist.","La devise n'existe pas."
"Currency Information","Informations sur la devise"
"Current Admin Password","Mot de passe administrateur actuel"
"Current Configuration Scope:","Portée de la configuration actuelle:"
"Current Month","Mois en cours"
"Current password field cannot be empty.","Le champ actuel du mot de passe ne peut pas être vide."
"Custom","Personnalisé"
"Customer","Client"
"Customer email address changed from %s to %s by %s.","L'adresse e-mail du client est passée de %s à %s par %s."
"Customer Group:","Groupe de clients :"
"Customer Groups","Groupes de clients"
"Customer Name","Nom du client"
"Customer Reviews","Avis des clients"
"Customers","Clients"
"Customers by Number of Orders","Clients par nombre de commandes"
"Customers by Orders Total","Clients par commande Total"
"Customer Shopping Carts","Paniers d'achat du client"
"Customer Since:","Client depuis :"
"Customer Tax Classes","Classes de taxe client"
"Customer with the same email already exists.","Un client avec la même adresse e-mail existe déjà."
"Custom Symbol","Symbole personnalisé"
"Custom Variable ""%s""","Variable personnalisée ""%s"""
"Custom Variables","Variables personnalisées"
"Dashboard","Tableau de bord"
"Database","Base de données"
"Dataflow - Advanced Profiles","Flux de données - Profils avancés"
"Dataflow - Profiles","Dataflow - Profiles"
"Data Format","Format des données"
"Data transfer:","Transfert de données:"
"Date","Date"
"Date & Time","Date et heure"
"Date Added","Date d'ajout"
"Date Updated","Date de mise à jour"
"Day","Jour"
"Debug","Debug"
"Decimal separator:","Séparateur de décimales:"
"Default (Admin) Values","Valeurs par défaut (Admin)"
"Default Billing Address","Adresse de facturation par défaut"
"Default Config","Default Config"
"Default display currency ""%s"" is not available in allowed currencies.","La devise d'affichage par défaut «%s» n'est pas disponible dans les devises autorisées."
"Default scope","Portée par défaut"
"Default Symbol","Symbole par défaut"
"Default Template from Locale","Modèle par défaut de la locale"
"Default Values","Valeurs par défaut"
"Delete","Supprimez"
"Delete %s","Supprimer %s"
"Delete %s '%s'","Supprimer %s '%s ' '"
"Delete Block","Supprimer le bloc"
"Delete File","Supprimer le fichier"
"Delete Image","Supprimer l'image"
"Delete Profile","Supprimer le profil"
"Delete Role","Supprimer le rôle"
"Delete Store","Supprimer le magasin"
"Delete Store View","Supprimer la vue magasin"
"Delete Template","Supprimer le modèle"
"Delete User","Supprimer l'utilisateur"
"Delete Variable","Supprimer la variable"
"Delete Website","Supprimer le site web"
"Description","Libellé"
"Design","Conception"
"Details","Détails du produit"
"Direction:","Direction :"
"Disable","Désactiver"
"Disable All Email Communications","Désactiver toutes les communications par e-mail"
"Disabled","Désactivé"
"Disallowed block name for frontend.","Nom de bloc interdit pour le frontend."
"Display default currency","Afficher la devise par défaut"
"Do nothing","Ne rien faire"
"Download","Télécharger"
"Downloads","Téléchargements"
"Do you really want to KILL parallel process and start new indexing process?","Voulez-vous vraiment KILL le processus parallèle et démarrer un nouveau processus d'indexation ?"
"Drop-down","Liste déroulante"
"Edit","Editer"
"Edit Block","Modifier le bloc"
"Edit Block '%s'","Modifier le bloc '%s'"
"Edit Design Change","Modifier le changement de design"
"Edit Email Template","Modifier le modèle d'e-mail"
"Edit Order","Modifier la commande"
"Edit Queue","Modifier la file d'attente"
"Edit Review","Modifier la revue"
"Edit Role","Modifier le rôle"
"Edit Store View","Modifier la vue magasin"
"Edit System Template","Modifier le modèle de système"
"Edit Template","Modifier le modèle"
"Edit URL Rewrite","Modifier la réécriture d'URL"
"Edit User","Editer l'utilisateur"
"Edit User '%s'","Modifier l'utilisateur '%s'"
"Edit Variable","Modifier la variable"
"Edit Variable '%s'","Modifier la variable '%s'"
"Edit Website","Modifier le site web"
"Email","Courriel"
"Email:","Email:"
"Email Address:","Adresse E-mail:"
"Email can only be changed for guest orders.","L'e-mail ne peut être modifié que pour les commandes des invités."
"Email transport is disabled. Please configure an email transport in Mail Sending Settings.","Le transport de courriels est désactivé. Veuillez configurer un transport de courriels dans les paramètres d'envoi de courriel."
"Emergency","Urgence"
"Enable","Activer"
"Enable 2FA","Activer l'A2F"
"Enabled","Activé"
"Enable Password Authentication","Activer l'authentification par mot de passe"
"Enclose Values In:","Enclencher les valeurs dans :"
"Engagement","Engagement"
"Enter current password and press ""Save Account"" to confirm passkey change.","Entrez le mot de passe actuel et appuyez sur ""Enregistrer le compte"" pour confirmer la modification du mot de passe."
"Enter new email address:","Entrez une nouvelle adresse e-mail :"
"Enter the 6-digit code from your authenticator app","Entrez le code à 6 chiffres de votre application d'authentification"
"Entity Attributes","Attributs de l'entité"
"Entity Type","Type d'entité"
"Entity type:","Type d'entité :"
"Entry & Exit Pages","Pages d'entrée et de sortie"
"Error","Erreur"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","exemple : ""sitemap/"" ou ""/"" pour le chemin de base (le chemin doit être accessible en écriture)"
"example: sitemap.xml","example: sitemap.xml"
"Excel XML","Excel XML"
"Excl. Tax","HT"
"Excl. Tax:","HT :"
"Expiration Date","Date d'expiration"
"Export","Exportation"
"Export:","Exporter:"
"Export CSV","Exporter CSV"
"Export Filters","Filtres d'exportation"
"Export to:","Exporter vers:"
"Failed","Echoué"
"failed","a échoué"
"Failed to add a product to cart by id ""%s"".","Impossible d'ajouter un produit au panier avec l'id ""%s""."
"Failed to cancel the billing agreement.","Impossible d'annuler l'accord de facturation."
"Failed to delete the billing agreement.","Impossible de supprimer l'accord de facturation."
"Failed to send test email. Please check your email configuration and error logs.","Échec de l'envoi de l'e-mail de test. Veuillez vérifier la configuration de votre e-mail et les journaux d'erreurs."
"Failed to update the profile.","Impossible de mettre à jour le profil."
"Field","Champ"
"Field Mapping","Mappage des champs"
"File","Fichier"
"File Information","Informations sur le fichier"
"File mode","Mode Fichier"
"File name:","Nom du fichier :"
"File System","Système de fichiers"
"Finished profile execution.","Exécution du profil terminée."
"First Invoice Created Date","Date de création de la première facture"
"First Name","Prénom"
"First Name:","Prénom :"
"First Name is required field.","Le prénom est obligatoire."
"Fixed","Fixe"
"Flush Catalog Images Cache","Vider le cache des images du catalogue"
"Flush Minified CSS/JS Cache","Vider le cache CSS/JS minifié"
"Flush Swatch Images Cache","Vider le cache des images d'échantillonnage"
"For category","Pour la catégorie"
"Forgot Admin Password","Mot de passe admin oublié"
"Forgot your password?","Mot de passe oublié ?"
"Forgot your user name or password?","Vous avez oublié votre nom d'utilisateur ou votre mot de passe?"
"For product","Pour le produit"
"From","A partir de"
"from","de"
"FTP Host[:Port]","Hôte FTP[:port]"
"General Information","Informations générales"
"Give the verifier code to application administrator","Donner le code du vérificateur à l'administrateur de l'application"
"GLOBAL","GLOBAL"
"Global Search","Recherche globale"
"Google Sitemaps","Google Sitemaps"
"Go to messages inbox","Accéder à la boîte de réception des messages"
"Go to notifications","Accéder aux notifications"
"Grand Total","Total global"
"Grid (default) / List","Grille (par défaut) / Liste"
"Grid Only","Grille uniquement"
"Group:","Groupe:"
"Guest","Invité"
"Health Check","Bilan de santé"
"Helper attributes should not be used in custom layout updates.","Les attributs de l'assistant ne doivent pas être utilisés dans les mises à jour de mise en page personnalisées."
"Helper for options rendering doesn't implement required interface.","L'assistant pour le rendu des options n'implémente pas l'interface requise."
"Home","Domicile"
"HTTP (unsecure)","HTTP (non sécurisé)"
"HTTPS (SSL)","HTTPS (SSL)"
"ID","ID"
"Id","Id"
"ID Path","ID du chemin d'accès"
"If there is an account associated with %s you will receive an email with a link to reset your password.","S'il y a un compte associé à %s , vous recevrez un e-mail avec un lien pour réinitialiser votre mot de passe."
"If this message persists, please contact the store owner.","Si ce message persiste, veuillez contacter le propriétaire du magasin."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si vous ne spécifiez pas de valeur d'option pour une vue magasin spécifique, la valeur par défaut (Admin) sera utilisée."
"Images Cache","Images Cache"
"Import","Importation"
"Import/Export","Importer/Exporter"
"Import/Export Advanced","Importer/Exporter Avancé"
"Import/Export Profile","Importer/Exporter le profil"
"Import and Export","Importer et exporter"
"Import and Export Tax Rates","Importer et exporter les taux de taxe"
"Imported <strong>%s</strong> records","Enregistrements <strong>%s</strong> importés"
"Import Service","Service d'importation"
"Inactive","Inactif"
"Incl. Tax","TTC"
"Incl. Tax:","TTC :"
"Incoming Message","Message entrant"
"In Database:","Dans la base de données :"
"In File:","Dans le fichier :"
"Informational","Information"
"Input fields (from - to)","Champs d'entrée (de - à)"
"Insert Variable...","Insérer une variable..."
"Interactive","Interactif"
"Interface Locale: %s","Langue de l'interface : %s"
"Internal Error","Erreur interne"
"Invalid 2FA verification code","Code de vérification 2FA invalide"
"Invalidated","Invalidé"
"Invalid current password.","Mot de passe actuel invalide."
"Invalid data","Données non valides"
"Invalid email address ""%s"".","Adresse e-mail «%s» invalide."
"Invalid email address.","Adresse e-mail invalide."
"Invalid field name '%s', must not be one of NOT, AND, OR, XOR","Le nom de champ '%s' n'est pas valide, ne doit pas être l'un des 'NOT' ET, OU, XOR"
"Invalid Form Key. Please refresh the page.","Clé de formulaire invalide. Veuillez rafraîchir la page."
"Invalid Import Service Specified","Service d'importation spécifié invalide"
"Invalid input data for %s => %s rate","Données d'entrée non valides pour %s => Taux %s"
"Invalid operator '%s', must be one of NOT, AND, OR, XOR","Opérateur '%s' invalide, doit être NOT, ET, OU, XOR"
"Invalid parent block for this block","Bloc parent invalide pour ce bloc"
"Invalid parent block for this block.","Bloc parent invalide pour ce bloc."
"Invalid password reset token.","Jeton de réinitialisation de mot de passe invalide."
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Données POST non valides (veuillez vérifier les paramètres post_max_size et upload_max_filesize dans votre fichier php.ini)."
"Invalid request method","Méthode de requête invalide"
"Invalid response","Réponse invalide"
"Invalid Secret Key. Please refresh the page.","Clé secrète invalide. Veuillez rafraîchir la page."
"Invalid sender name ""%s"". Please use only visible characters and spaces.","Nom d'expéditeur invalide «%s». Veuillez n'utiliser que des caractères et des espaces visibles."
"Invalid template data.","Données de modèle non valides."
"Invalid template path used in layout update.","Chemin de gabarit non valide utilisé dans la mise à jour de la mise à jour."
"Invalid timezone","Fuseau horaire invalide"
"Invalid User Name or Password.","Nom d'utilisateur ou mot de passe invalide."
"Inventory Stock Status","État du stock d'inventaire"
"Invoice #%s comment added","Commentaire%s ajouté sur la facture"
"Invoice #%s created","Facture #%s créée"
"Invoice canceling error.","Erreur lors de l'annulation de la facture."
"Invoice capturing error.","Erreur de capture de la facture."
"Invoice History","Historique des factures"
"Invoices","Factures"
"Invoice Totals","Total des factures"
"Invoice voiding error.","Invoice voiding error."
"IP Address","Adresse IP"
"Is Allowed","Est autorisé"
"Is Allowed is required field.","Le champ autorisé est obligatoire."
"Is Closed","Est fermé"
"Is Default","Est par défaut"
"Issue Number","Numéro du ticket"
"Items","Éléments"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"Languages","Langues"
"Last 5 Orders","5 dernières commandes"
"Last 5 Search Terms","Les 5 derniers termes de recherche"
"Last 7 Days","Les 7 derniers jours"
"Last 24 Hours","Les dernières 24 heures"
"Last Credit Memo Created Date","Date de création du dernier avoir"
"Last Invoice Created Date","Date de création de la dernière facture"
"Last Logged In (%s):","Dernière connexion (%s):"
"Last Logged In:","Dernière connexion :"
"Last Name","Nom de famille"
"Last Name:","Nom de famille :"
"Last Name is required field.","Le champ Nom est obligatoire."
"Last updated: %s. To refresh last day's <a href=""%s"">statistics</a>, click <a href=""%s"">here</a>.","Dernière mise à jour : %s. Pour actualiser les statistiques <a href=""%s"">du jour dernier</a>, cliquez sur <a href=""%s"">ici</a>."
"Latest Message:","Dernier message :"
"Layered Navigation Indices","Indices de navigation par filtres"
"Layered Navigation Indices were refreshed.","Les indices de navigation par filtres ont été actualisés."
"Leave empty to use tax identifier","Laisser vide pour utiliser l'identifiant de taxe"
"Lifetime","Durée de vie"
"Lifetime Sales","Ventes à vie"
"Lifetime statistics have been updated.","Les statistiques de durée de vie ont été mises à jour."
"Links","Liens"
"Links with associated products will retain only after saving current product.","Les liens avec les produits associés ne seront conservés qu'après l'enregistrement du produit actuel."
"List (default) / Grid","Liste (par défaut) / Grille"
"List Only","Liste uniquement"
"Load default template","Charger le modèle par défaut"
"Loading...","Chargement en cours..."
"Load Template","Charger le modèle"
"Local/Remote Server","Serveur local / distant"
"Locale","Locale"
"Local Server","Serveur local"
"Log In","Se connecter"
"Login","Se connecter"
"Log in to Admin Panel","Se connecter au panneau d'administration"
"Log into Maho Admin Page","Connectez-vous à la page d'administration de Maho"
"Log in to use <strong>%s</strong>","Connectez-vous pour utiliser <strong>%s</strong>"
"Login with Passkey","Se connecter avec le mot de passe"
"Log Out","Déconnexion"
"Low Stock","Stock faible"
"Maho Admin","Administrateur Maho"
"Maho Test Email","Email Maho Test"
"MAJOR","MAJEUR"
"major","majeur"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Assurez-vous que l'encodage des données dans le fichier est cohérent et enregistré dans l'un des encodages pris en charge (UTF-8 ou ANSI)."
"Manage Attributes","Gérer les attributs"
"Manage Attribute Sets","Gérer les jeux d'attributs"
"Manage Categories","Gérer les catégories"
"Manage Content","Gérer le contenu"
"Manage Currency Rates","Gérer les taux de change"
"Manage Customers","Gérer les clients"
"Manage Options (values of your attribute)","Gérer les options (valeurs de votre attribut)"
"Manage Ratings","Gérer les évaluations"
"Manage Stores","Gérer les magasins"
"Manage Tax Rules","Gérer les règles de taxe"
"Manage Tax Zones and Rates","Gérer les zones de taxes et les taux"
