"%s %s cycle.","Cycle %s %s."
"Invalid Credit Card Number","Numéro de carte de crédit invalide"
"is","est"
"is not","n'est pas"
"Issue Number","Numéro du ticket"
"less than","inférieur à"
"Make Check Payable to","Rendre le Chèque Payable à"
"Make Check payable to:","Faire le chèque à l'ordre de :"
"Make Check payable to: %s","Chèque libellé à l'ordre de : %s"
"Maximum Billing Cycles","Cycles de facturation maximum"
"Maximum Order Total","Total maximum de la commande"
"Maximum Payment Failures","Nombre maximum d'échecs de paiement"
"Maximum Trial Billing Cycles","Maximum de cycles de facturation d'essai"
"Minimum Order Total","Total minimum de la commande"
"Month","Mois"
"N/A","N/A"
"Name","Nom"
"Name on Card","Nom sur la carte"
"New Order Status","Statut de la nouvelle commande"
"New Restriction","Nouvelle restriction"
"NOT FOUND","NON TROUVÉ"
"Number of billing periods that make up one billing cycle.","Nombre de périodes de facturation qui composent un cycle de facturation."
"Number of Complete Orders","Nombre de commandes terminées"
"Order action is not available.","L'action de commande n'est pas disponible."
"Password","Mot de passe"
"Payment from Applicable Countries","Paiement à partir des pays applicables"
"Payment from Specific Countries","Paiement depuis des pays spécifiques"
"Payment Method","Méthode de paiement"
"Payment method code is not set.","Le code du mode de paiement n'est pas défini."
"Payment method code is undefined.","Le code de la méthode de paiement n'est pas défini."
"Payment Methods","Moyens de paiement"
"Payment profile is invalid:\n%s","Profil de paiement invalide :\n%s"
"Payment Reference ID","ID de référence de paiement"
"Payment Restrictions","Restrictions de paiement"
"Payment Services","Services de paiement"
"Period frequency is wrong.","La fréquence de période est incorrecte."
"Please choose a condition to add.","Veuillez choisir une condition à ajouter."
"Please enter a valid credit card verification number.","Veuillez entrer un numéro de vérification de carte de crédit valide."
"Please select restriction(s).","Veuillez sélectionner les restriction(s)."
"Product Attribute","Attribut produit"
"Product attribute combination","Combinaison d'attributs de produit"
"Product Categories","Catégories de produits"
"Products subselection","Sous-sélection des produits"
"Purchase Order","Bon de commande"
"Purchase Order Number","Numéro de bon de commande"
"Purchase Order Number:","Numéro de bon de commande :"
"Purchase Order Number: %s","Numéro de bon de commande : %s"
"Recurring Profile Start Date","Date de début du profil récurrent"
"Recurring profile start date has invalid format.","Le format de la date de début du profil récurrent est invalide."
"Reference ID is not set.","L'ID de référence n'est pas défini."
"Refund action is not available.","L'action de remboursement n'est pas disponible."
"Repeats %s time(s).","Repeats %s time(s)."
"Repeats until suspended or canceled.","Répéter jusqu'à ce que suspendu ou annulé."
"Save Restriction","Enregistrer la restriction"
"Schedule Description","Description de l'horaire"
"Schedule description must be not empty.","La description de l'horaire ne doit pas être vide."
"Selected payment type is not allowed for billing country.","Le type de paiement sélectionné n'est pas autorisé pour le pays de facturation."
"Send Check to","Envoyer le chèque à"
"Send Check to:","Envoyer le chèque à:"
"Severe 3D Secure Card Validation","Validation sévère de la carte 3D Secure"
"Shipping Amount","Montant de la livraison"
"Shipping Country","Pays de livraison"
"Shipping Method","Mode de livraison"
"Shipping Postcode","Code postal de livraison"
"Shipping Region","Région d'expédition"
"Shipping State/Province","État/Province d'expédition"
"Short description of the recurring payment. By default equals to the product name.","Description courte du paiement récurrent. Par défaut correspond au nom du produit."
"Sort Order","Ordre de tri"
"Start Date","Date de début"
"Start date has invalid format.","Le format de la date de début est invalide."
"Start date is undefined.","La date de début n'est pas définie."
"Status","Statut"
"Status ""%s"" cannot be unassigned. It is in used in %d payment method configuration(s): %s","Le statut «%s» ne peut pas être désaffecté. Il est utilisé dans la(les) configuration(s) de méthode de paiement %d : %s"
"Stores","Magasins"
"Subscriber Name","Nom de l'abonné"
"Subtotal","Sous-total"
"Switch/Solo/Maestro Issue Number","Numéro de problème Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro uniquement"
"Switch/Solo/Maestro Start Date","Date de début du commutateur/Solo/Maestro"
"Tax Amount","Montant de la taxe"
"Test Mode","Mode de test"
"The date when billing for the profile begins.","La date de début de la facturation pour le profil."
"The number of billing cycles for payment period.","Le nombre de cycles de facturation pour la période de paiement."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Le nombre de paiements planifiés qui peuvent échouer avant la suspension automatique du profil."
"The payment restriction has been deleted.","La restriction de paiement a été supprimée."
"The payment restriction has been saved.","La restriction de paiement a été enregistrée."
"The payment review action is unavailable.","L'action de révision du paiement n'est pas disponible."
"The requested Payment Method is not available.","Le mode de paiement demandé n'est pas disponible."
"This restriction no longer exists.","Cette restriction n'existe plus."
"Title","Titre de la page"
"total amount","montant total"
"Total Items Quantity","Quantité totale d'articles"
"Total of %d record(s) were deleted.","Total of %d record(s) were deleted."
"Total of %d record(s) were updated.","Total of %d record(s) were updated."
"total quantity","Quantité totale"
"Total Weight","Poids total"
"Trial Billing Amount","Montant de facturation de la période d'essai"
"Trial billing amount is wrong.","Le montant de facturation d'essai est incorrect."
"Trial Billing Frequency","Fréquence de facturation d'essai"
"Trial Billing Period Unit","Unité de période de facturation d'essai"
"Trial billing period unit is wrong.","L'unité de période de facturation d'essai est incorrecte."
"Trial Period","Période d'essai"
"Trial period frequency is wrong.","La fréquence de la période d'essai est incorrecte."
"Trial period max cycles is wrong.","Les cycles max de la période d'essai sont incorrects."
"Two Weeks","Deux semaines"
"Type","Type de texte"
"Unable to find a restriction to delete.","Impossible de trouver une restriction à supprimer."
"Unable to save Billing Agreement:","Impossible d'enregistrer l'accord de facturation :"
"Unit for billing during the subscription period.","Unité de facturation pendant la période d'abonnement."
"Void action is not available.","L'action Annuler n'est pas disponible."
"Week","Semaine"
"What is this?","Qu'est-ce que c'est?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","S'il faut suspendre le profil de paiement si les frais initiaux échouent ou l'ajouter au solde impayé."
"Wrong %s specified.","Mauvais %s spécifié."
"Wrong or empty billing amount specified.","Montant de facturation incorrect ou vide spécifié."
"Year","Année"
"Zero Subtotal Checkout","Paiement sans sous-total"
