"# of Use","# d'utilisation"
"%1$s incl tax.","Taxe %1$s TTC"
"%s-%s of %s","%s-%s of %s"
"%s and above","%s et plus"
"%s Item(s)","Objet %s"
"Add to Wishlist","Ajouter à la liste d'envies"
"Alert Urls","Urls d'alerte"
"All","Tous"
"ALL GROUPS","TOUS LES GROUPES"
"Allow All Products per Page","Autoriser tous les produits par page"
"Allow Dynamic Media URLs in Products and Categories","Autoriser les URL de média dynamiques dans les produits et les catégories"
"Allowed File Extensions","Extensions de fichier autorisées"
"Allowed file extensions to upload","Extensions de fichier autorisées à télécharger"
"Allow HTML Tags on Frontend","Autoriser les balises HTML sur le site"
"All products","Tous les produits"
"All products - recently added products, New products - products marked as new","Tous les produits - produits récemment ajoutés, nouveaux produits - produits marqués comme nouveaux"
"All Product Types","Tous les types de produits"
"All Websites","Tous les sites Web"
"Amount","Montant"
"Anchor Custom Text","Texte personnalisé de l'ancre"
"Anchor Custom Title","Titre personnalisé d'ancre"
"and","et"
"and above","et plus haut"
"An error occurred while adding products to websites.","Une erreur s'est produite lors de l'ajout de produits à des sites Web."
"An error occurred while clearing comparison list.","Une erreur s'est produite lors de l'effacement de la liste de comparaisons."
"An error occurred while deleting this review.","Une erreur s'est produite lors de la suppression de cette revue."
"An error occurred while removing products from websites.","Une erreur s'est produite lors de la suppression des produits des sites Web."
"An error occurred while saving the attribute set.","Une erreur s'est produite lors de l'enregistrement du jeu d'attributs."
"An error occurred while saving the collection, aborting. Error message: %s","Une erreur est survenue lors de l'enregistrement de la collection, annulation. Message d'erreur: %s"
"An error occurred while saving the product. ","Une erreur s'est produite lors de l'enregistrement du produit. "
"An error occurred while saving the search query.","Une erreur s'est produite lors de l'enregistrement de la requête de recherche."
"An error occurred while saving the URL rewrite","Une erreur s'est produite lors de l'enregistrement de la réécriture de l'URL"
"An error occurred while saving this review.","Une erreur est survenue lors de l'enregistrement de ce commentaire."
"An error occurred while updating the product(s) attributes.","Une erreur s'est produite lors de la mise à jour des attributs de produit(s)."
"An error occurred while updating the product(s) status.","Une erreur s'est produite lors de la mise à jour du statut des produits."
"An invalid group ID is specified, skipping the record.","Un identifiant de groupe invalide est spécifié, l'enregistrement est ignoré."
"An invalid option ID is specified for %s (%s), skipping the record.","Un identifiant d'option invalide est spécifié pour %s (%s), l'enregistrement est ignoré."
"An invalid store was specified.","Un magasin invalide a été spécifié."
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable uniquement aux produits et catégories du catalogue. Tout contenu multimédia sera inséré dans l'éditeur en tant qu'URL statique. Il n'est pas mis à jour si l'URL de base de la configuration du système change d'URL."
"Apply","Appliquer"
"Apply MAP (Default Value)","Appliquer MAP (valeur par défaut)"
"Apply price filter","Appliquer le filtre de prix"
"Apply To","Appliquer à"
"Approved","Approuvé"
"A product type is not defined for the indexer.","Un type de produit n'est pas défini pour l'indexeur."
"Are you sure?","Êtes-vous sûr(e) ?"
"Are you sure you want to delete this category?","Êtes-vous sûr de vouloir supprimer cette catégorie ?"
"Are you sure you would like to remove all products from your comparison?","Êtes-vous sûr de vouloir supprimer tous les produits de votre comparaison ?"
"Are you sure you would like to remove this item from the compare products?","Êtes-vous sûr de vouloir supprimer cet article des produits de comparaison ?"
"Assign","Affecter"
"Assigned Products","Produits assignés"
"Assign product link","Assigner un lien produit"
"Assign product to category","Assigner le produit à la catégorie"
"Associated Products","Produits associés"
"Attrib. Set Name","Nom de l'Attrib. Set"
"Attribute ""%s"" is invalid.","L'attribut ""%s"" n'est pas valide."
"Attribute ""%s"" is required.","L'attribut ""%s"" est requis."
"Attribute add","Ajout d'attribut"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter. Do not use ""event"" for an attribute code.","Le code d'attribut n'est pas valide. Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9) ou des tirets bas (_) dans ce champ, le premier caractère doit être une lettre. N'utilisez pas ""event"" pour un code d'attribut."
"Attribute Information","Informations sur l'Attribut"
"Attribute Name:","Nom de l'attribut:"
"Attribute remove","Suppression d'attribut"
"Attributes","Attributs"
"Attribute Set","Ensemble d'Attributs"
"Attribute Sets","Jeu d'attributs"
"Attribute with the same code already exists","Un attribut avec le même code existe déjà"
"Attrribute names can be specified per store.","Les noms d'Attrribute peuvent être spécifiés par boutique."
"Autogenerate","Générer automatiquement"
"Availability:","Disponibilité:"
"Back","Précédent"
"Background Color","Couleur d'arrière-plan"
"Backorders","Commandes en attente"
"Based On","Basé sur"
"Base Image Width","Largeur de l'image de base"
"Before Order Confirmation","Avant la confirmation de la commande"
"Best Value","Meilleure valeur"
"Block after Info Column","Bloc après la colonne d'information"
"Bottom/Left","Bas/Gauche"
"Bottom/Right","Bas/Droite"
"Bottom Block Options Wrapper","Wrapper d'options de bloc inférieur"
"Bundle Items","Éléments du lot"
"Buy %1$s","Achetez %1$s"
"Buy %1$s for","Acheter %1$s pour"
"Buy %1$s for %2$s","Achetez %1$s pour %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Achetez %1$s pour %2$s (%3$s TTC taxe) chaque"
"Buy %1$s for %2$s each","Achetez %1$s pour %2$s chaque"
"Cache Lifetime (Seconds)","Durée de vie du cache (secondes)"
"Cache refresh needed.","Mise à jour du cache requise."
"Can't create image.","Impossible de créer l'image."
"Can be Divided into Multiple Boxes for Shipping","Peut être divisé en plusieurs boîtes pour l'expédition"
"Can be used only with catalog input type Dropdown","Peut être utilisé uniquement avec le type de saisie du catalogue"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Ne peut être utilisé qu'avec le type de saisie de catalogue déroulant, sélection multiple et prix"
"Cancel","Abandonner"
"Cannot create image.","Impossible de créer l'image."
"Cannot create writeable directory '%s'.","Impossible de créer le répertoire '%s' en écriture."
"Cart Item Attribute","Attribut de l'article du panier"
"Catalog","Catalogue"
"Catalog, Search","Catalogue, Recherche"
"Catalog Category (Anchor)","Catégorie du catalogue (Ancre)"
"Catalog Category (Non-Anchor)","Catégorie de catalogue (Non-Ancre)"
"Catalog Category (Without Subcategories)","Catégorie de catalogue (sans sous-catégories)"
"Catalog Category Link","Lien de catégorie de catalogue"
"Catalog New Products List","Liste des nouveaux produits du catalogue"
"Catalog Price Scope","Portée du prix catalogue"
"Catalog Product Compare List","Liste des comparaisons de produits du catalogue"
"Catalog product custom options API","API des options personnalisées du produit catalogue"
"Catalog product custom option values API","API des valeurs des options personnalisées du produit du catalogue"
"Catalog Product Email to a Friend","E-mail du produit catalogue à un ami"
"Catalog Product Image Gallery Popup","Popup de la galerie d'images de produit du catalogue"
"Catalog Product Link","Lien produit du catalogue"
"Catalog Product View (Any)","Vue produit catalogue (tous)"
"Catalog Product View (Configurable)","Vue produit catalogue (configurable)"
"Catalog Product View (Grouped)","Vue produit du catalogue (Groupé)"
"Catalog Product View (Simple)","Vue produit catalogue (Simple)"
"Catalog Product View (Virtual)","Vue produit catalogue (virtuel)"
"Catalog Seo Sitemap (Category List)","Catalogue Seo Sitemap (Liste des catégories)"
"Catalog Seo Sitemap (Category Tree)","Catalogue Seo Plan du site (arbre de catégorie)"
"Catalog Seo Sitemap (Common)","Catalogue Seo Sitemap (Commun)"
"Catalog Seo Sitemap (Product List)","Catalogue Seo Sitemap (Liste de produits)"
"Catalog URL Rewrites","Réécritures d'URL du catalogue"
"Categories","Catégories"
"categories","Catégories"
"Categories Sitemap","Plan du site des catégories"
"Category","Catégorie"
"Category API","API de catégorie"
"Category attributes API","API d'attributs de catégorie"
"Category Data","Données de la catégorie"
"Category delete error: %s","Erreur de suppression de catégorie : %s"
"Category Flat Data","Données de la catégorie à plat"
"Category ID","ID de la catégorie"
"Category is not dynamic.","La catégorie n'est pas dynamique."
"Category Link Block Template","Modèle de bloc de lien de catégorie"
"Category Link Inline Template","Modèle de lien de catégorie en ligne"
"Category move error: %s","Erreur de déplacement de catégorie : %s"
"Category must be an instance of Mage_Catalog_Model_Category.","La catégorie doit être une instance de Mage_Catalog_Model_Category."
"Category not found.","Catégorie non trouvée."
"Category Products","Produits de la catégorie"
"Category save error: %s","Erreur de sauvegarde de la catégorie : %s"
"Category Top Navigation","Navigation par catégorie"
"Category URL Suffix","Suffixe d'URL de catégorie"
"Category was not found.","Catégorie introuvable."
"Center","Centrer"
"Change","Changement"
"Change or Retrieve attribute store view","Modifier ou Récupérer la vue magasin d'attributs"
"Change status","Changer le statut"
"Check items to add to the cart or","Cochez les articles à ajouter au panier ou"
"Choose an Option...","Choisissez une option..."
"Clear All","Tout effacer"
"Clear Price","Effacer le prix"
"Click for price","Cliquer pour le prix"
"Close Window","Fermer la fenêtre"
"Collapse All","Réduire tout"
"Comma-separated.","Séparé par des virgules."
"Comparable","Comparable"
"Comparable on Front-end","Comparable sur le front-end"
"Comparable on the Frontend","Comparable sur le frontend"
"Compare","Comparer"
"Compare Products","Comparer les produits"
"Conditions","Condition"
"Conditions Combination","Combinaison des conditions"
"Configurable Product","Produit configurable"
"Configurable Product Settings","Paramètres du produit configurable"
"Continue","Continuer"
"Controls display of Add to Cart and View Details buttons in category pages and product lists. When disabled, only product names and images will be clickable.","Contrôle l'affichage des boutons Ajouter au panier et Voir les détails dans les pages de catégories et les listes de produits. Lorsque cette option est désactivée, seuls les noms de produits et les images seront cliquables."
"Copy From Configurable","Copier depuis configurable"
"Country/State","Pays/État"
"Create","Créer"
"Create (Upload)","Créer (télécharger)"
"Create attribute set based on another set","Créer un jeu d'attributs basé sur un autre ensemble"
"Create Empty","Créer vide"
"Create new attribute","Créer un nouvel attribut"
"Create new category","Créer une nouvelle catégorie"
"Create new product","Créer un nouveau produit"
"Create Permanent Redirect for old URL","Créer une redirection permanente pour l'ancienne URL"
"Create Permanent Redirect for URLs if URL Key Changed","Créer une redirection permanente pour les URL si la clé d'URL a été modifiée"
"Create Product Settings","Créer des paramètres de produit"
"Create Simple Associated Product","Créer un produit simple associé"
"Cross-sells","Ventes croisées"
"Custom Design","Conception personnalisée"
"Customer Group","Groupe de clients"
"Customers Reviews","Avis des clients"
"Customers Tagged Product","Produit taggé par les clients"
"Custom Options","Options personnalisées"
"Custom options","Options personnalisées"
"Data Type for Saving in Database","Type de données pour l'enregistrement dans la base de données"
"Date & Time Custom Options","Options personnalisées pour la date et l'heure"
"Date Subscribed","Date d'abonnement"
"Datetime","Date et heure"
"Decimal","Décimal"
"Declare attribute value saving scope","Déclarer la portée d'économie de valeur d'attribut"
"Default ""What's This"" Text Message","Message texte ""Qu'est-ce que c'est"" par défaut"
"Default Popup Text Message","Message texte par défaut"
"Default Price","Prix par défaut"
"Default Price Navigation Step","Étape de navigation des prix par défaut"
"Default Qty","Default Qty"
"Default Values","Valeurs par défaut"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Définit la portée de la devise de base (""Configuration des devises"" > ""Options des devises"" > ""Devise de base"")."
"Delete","Supprimez"
"Delete Attribute","Supprimer l'attribut"
"Delete attribute","Supprimer l'attribut"
"Delete Attribute Set","Supprimer le jeu d'attributs"
"Delete Category","Supprimer la catégorie"
"Delete category","Supprimer la catégorie"
"Delete File","Supprimer le fichier"
"Delete Group Price","Supprimer le prix du groupe"
"Delete product","Supprimer le produit"
"Delete Row","Supprimer la ligne"
"Delete Search","Supprimer la recherche"
"Delete Tier","Supprimer le niveau"
"Depends on design theme","Dépend du thème du design"
"Description","Libellé"
"Design","Conception"
"Details","Détails du produit"
"Disabled","Désactivé"
"Disallowed file format.","Format de fichier non autorisé."
"Disallowed file type.","Type de fichier interdit."
"Display Actual Price","Afficher le prix réel"
"Display in Suggested Terms","Afficher dans les termes suggérés"
"Display Page Control","Afficher le contrôle de la page"
"Display Price Interval as One Price","Afficher l'intervalle de prix en un seul prix"
"Display Product Count","Afficher le nombre de produits"
"Display Type","Type d'affichage"
"Downloadable Information","Informations téléchargeables"
"Do you want to duplicate the product images as well?","Voulez-vous également dupliquer les images du produit ?"
"Do you want to duplicate the product images as well?","Voulez-vous également dupliquer les images du produit ?"
"Duplicate","Duplicate"
"Duplicate Product","Dupliquer le produit"
"Duplicate website, country and state tax found.","Dupliquer le site web, le pays et la taxe d'état trouvés."
"Duplicate website group price customer group.","Dupliquer le groupe de prix du site Web pour le groupe de clients."
"Duplicate website tier price customer group and quantity.","Dupliquer le groupe de prix par palier du site Web et la quantité de clients."
"Dynamic category processed successfully.","Catégorie dynamique traitée avec succès."
"Dynamic Category Rules","Règles de catégorie dynamique"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Par exemple, {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. L'analyse dynamique des directives dynamiques affecte les performances du catalogue."
"each","chaque"
"Edit","Editer"
"Edit Attribute Set '%s'","Modifier le jeu d'attributs '%s'"
"Edit Product Attribute","Modifier l'attribut du produit"
"Edit Product Attribute ""%s""","Modifier l'attribut produit ""%s"""
"Edit Search","Modifier la recherche"
"Edit Search '%s'","Modifier la recherche '%s'"
"Edit Set Name","Modifier le nom de l'ensemble"
"Email","Courriel"
"Empty","Vide"
"Enable Add to cart Button in product listings","Activer le bouton Ajouter au panier dans la liste des produits"
"Enabled","Activé"
"Enable MAP","Activer le MAP"
"Enable Qty Increments","Activer les incréments de quantité"
"Enable WYSIWYG","Activer WYSIWYG"
"Error during retrieval of option value: %s","Erreur lors de la récupération de la valeur de l'option : %s"
"Error loading children: %s","Erreur lors du chargement des enfants : %s"
"ex. http://domain.com","ex. http://domaine.com"
"Exclude","Exclure"
"Expand All","Développer tout"
"Failed","Echoué"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Impossible de copier le fichier %s. Veuillez supprimer le média avec des images inexistantes et réessayer."
"Failed to move file: %s","Impossible de déplacer le fichier : %s"
"Field is not complete","Le champ n'est pas rempli"
"File","Fichier"
"File options format is not valid.","Le format des options de fichier n'est pas valide."
"File upload failed","Échec de l'envoi du fichier"
"File upload failed. Please contact the store administrator.","Le téléchargement de fichier a échoué. Veuillez contacter l'administrateur du magasin."
"File upload failed with error code: %s","Le téléchargement du fichier a échoué avec le code d'erreur : %s"
"Filter","Filtre"
"Filterable (no results)","Filtrable (sans résultats)"
"Filterable (with results)","Filtrable (avec résultats)"
"Filter model name must be declared.","Le nom du modèle de filtre doit être déclaré."
"Filter must be an object. Please set correct filter.","Le filtre doit être un objet. Veuillez définir un filtre correct."
"Filters","Filtres"
"First Name","Prénom"
"Fixed","Fixe"
"For internal use.","Pour une utilisation interne."
"For the last time placed.","Pour la dernière fois placé."
"From","A partir de"
"Frontend","Frontend"
"Frontend Properties","Propriétés du frontend"
"Gallery","Galerie"
"General Information","Informations générales"
"Get full information about attribute with list of options","Obtenir des informations complètes sur l'attribut avec la liste d'options"
"Get full information about custom option in product","Obtenir des informations complètes sur les options personnalisées dans le produit"
"Get list of available custom option types","Obtenir la liste des types d'options personnalisés disponibles"
"Get list of non-default attributes by product type and attributes set","Récupérer la liste des attributs non par défaut par type de produit et par ensemble d'attributs"
"Get list of possible attribute types","Récupérer la liste des types d'attributs possibles"
"Get special price","Obtenir un prix spécial"
"Global","Globale"
"Globally Editable","Éditable globalement"
"Go to Home Page","Aller à la page d'accueil"
"Grid","Grille"
"Group add","Ajouter un groupe"
"Grouped Product","Produit groupé"
"Group remove","Suppression de groupe"
"Groups","Groupes"
"Home","Domicile"
"HTML tags are not allowed in SKU attribute.","Les balises HTML ne sont pas autorisées dans l'attribut SKU."
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Si vide, le nom de la catégorie sera utilisé"
"If empty, the Product Name will be used","Si vide, le nom du produit sera utilisé"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si vous ne spécifiez pas de valeur d'option pour une vue magasin spécifique, la valeur par défaut (Admin) sera utilisée."
"Image","Image"
"Image content is not valid base64 data.","Le contenu de l'image n'est pas des données base64 valides."
"Image does not exist.","L'image n'existe pas."
"Image type and information need to be specified for each store view.","Le type d'image et les informations doivent être spécifiées pour chaque vue magasin."
"In Cart","Dans le panier"
"Incl. Tax","TTC"
"Indexed category/products association","Association de catégorie/produits indexés"
"Index product and categories URL rewrites","Indexer les réécritures d'URL des produits et catégories"
"Index product attributes for layered navigation building","Attributs de produit d'index pour la construction de navigation par couches"
"Index product prices","Indexer les prix des produits"
"Info","Infos"
"Info Column Options Wrapper","Wrapper d'options de colonne d'info"
"Input Type","Input Type"
"In Stock","En stock"
"In stock","En stock"
"Integer","Nombre entier"
"Internal Error","Erreur interne"
"Interval Division Limit","Limite de division d'intervalle"
"Invalid attribute %s","Attribut %s invalide"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Option d'attribut invalide spécifiée pour l'attribut %s (%s), l'enregistrement est ignoré."
"Invalid attribute set specified, skipping the record.","Jeu d'attributs invalide spécifié, l'enregistrement est ignoré."
"Invalid block: %s.","Bloc invalide : %s."
"Invalid category.","Catégorie invalide."
"Invalid category IDs.","ID de catégorie invalide."
"Invalid custom option(s).","Options personnalisées non valides."
"Invalid image file type.","Type de fichier d'image invalide."
"Invalid image type.","Type d'image invalide."
"Invalid option ID specified for %s (%s), skipping the record.","ID d'option invalide spécifié pour %s (%s), enregistrement ignoré."
"Invalid product collection resource.","Ressource de collection de produits invalide."
"Invalid product type specified, skipping the record.","Type de produit invalide spécifié, enregistrement ignoré."
"Invalid store specified","Magasin spécifié invalide"
"Invalid store specified, skipping the record.","Boutique non valide spécifiée, l'enregistrement est ignoré."
"Invalid Tier Prices","Prix de palier invalide"
"Invalid tier prices. The product is not associated to the requested website.","Prix de palier invalide. Le produit n'est pas associé au site Web demandé."
"Inventory","Inventaire"
"Is Default","Est par défaut"
"Is Required","Est Requis"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Les articles que vous ne voulez pas afficher dans le catalogue ou les résultats de recherche doivent avoir le statut 'Désactivé' dans le magasin souhaité."
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Les articles que vous ne voulez pas afficher dans le catalogue ou les résultats de recherche doivent avoir le statut 'Désactivé' dans le magasin souhaité."
"Keep Frame","Garder le cadre"
"Label","Étiquette"
"Last Name","Nom de famille"
"Last Notification","Dernière notification"
"Layered Navigation","Navigation par filtres"
"Learn More","En savoir plus"
"leave blank if its not an image","laisser vide si ce n'est pas une image"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Ligne %d, REF : %s"
"Link (Related, Up sell, Cross sell)","Lien (connexe, vente forte, vente croisée)"
"Link product does not exist.","Le produit du lien n'existe pas."
"Link to a Specified Category","Lien vers une catégorie spécifiée"
"Link to a Specified Product","Lien vers un produit spécifié"
"List","Liste"
"List Mode","Mode Liste"
"List of Products that are set as New","Liste des produits qui sont définis comme nouveaux"
"List of types","Liste des types"
"Manage Attributes","Gérer les attributs"
"Manage Attribute Sets","Gérer les jeux d'attributs"
"Manage Catalog Categories","Gérer les catégories de catalogue"
"Manage Categories","Gérer les catégories"
"Manage Label / Options","Gérer le libellé / les options"
"Manage Options (values of your attribute)","Gérer les options (valeurs de votre attribut)"
"Manage Product Attributes","Gérer les attributs du produit"
"Manage Products","Gérer les produits"
"Manage Product Sets","Gérer les ensembles de produits"
"Manage Stock","Gérer le stock"
"Manage Titles (Size, Color, etc.)","Gérer les titres (taille, couleur, etc.)"
"Max Characters","Nombre maximum de caractères"
"Maximal Depth","Profondeur maximale"
"Maximum allowed image size for '%s' is %sx%s px.","La taille maximale autorisée pour '%s' est %sx%s px."
"Maximum file size","Taille maximale du fichier"
"Maximum image height","Hauteur maximale de l'image"
"Maximum Image Size","Taille maximale de l'image"
"Maximum image width","Largeur maximale de l'image"
"Maximum number of characters:","Nombre maximum de caractères:"
"Maximum Number of Price Intervals","Nombre maximum d'intervalles de prix"
"Maximum number of price intervals is 100","Le nombre maximum d'intervalles de prix est de 100"
"Maximum Qty Allowed in Shopping Cart","Quantité maximale autorisée dans le panier"
"Maximum resolution for upload image","Résolution maximale pour le téléchargement d'image"
"Maximum width and height dimension for upload image is %s.","La dimension maximale de largeur et de hauteur pour le téléchargement d'image est %s."
"Maximum width and height resolutions for upload image","Résolutions de largeur et de hauteur maximales pour télécharger une image"
"Maximum width base product image will be scaled down to in pixels","La largeur maximale de l'image du produit de base sera réduite en pixels"
"Maximum width small product image will be scaled down to in pixels","La largeur maximale de l'image du produit sera réduite en pixels"
"Media Image","Image du média"
"Middle Name","Deuxième prénom"
"Minimum Advertised Price","Prix minimum annoncé"
"Minimum Lines per Page","Minimum de lignes par page"
"Minimum Qty Allowed in Shopping Cart","Quantité minimale autorisée dans le panier"
"Minimum Qty for Item's Status to be Out of Stock","Quantité minimale pour que le statut de l'élément soit en rupture de stock"
"Missing SKU, skipping the record.","SKU manquant, l'enregistrement est ignoré."
"Move","Déplacer"
"Move category in tree","Déplacer la catégorie dans l'arborescence"
"Multi update product","Mise à jour multiple du produit"
"Must be in the allowed values list.","Doit être dans la liste des valeurs autorisées."
"My Account","Mon Compte"
"N/A","N/A"
"Name","Nom"
"Name in %s","Nom dans %s"
"New Product","Nouveau produit"
"New Product Attribute","Nouvel attribut de produit"
"New Products","Nouveaux produits"
"New products","Nouveaux produits"
"New Products Grid Template","Modèle de grille de nouveaux produits"
"New Products Images and Names Template","Nouveau modèle d'images et de noms de produits"
"New Products Images Only Template","Modèle d'images pour les nouveaux produits uniquement"
"New Products List Template","Modèle de liste de nouveaux produits"
"New Products Names Only Template","Modèle de noms de nouveaux produits uniquement"
"New Root Category","Nouvelle catégorie racine"
"New Search","Nouvelle recherche"
"New Subcategory","Nouvelle sous-catégorie"
"Next","Suivant"
"No","Non"
"No, without images","Non, sans images"
"No image","Aucune image"
"No layout updates","Aucune mise à jour de la mise en page"
"None","Aucun"
"No options of this product are available.","Aucune option pour ce produit n'est disponible."
"No product collections found.","Aucune collection de produits trouvée."
"Notify for Quantity Below","Notifier pour la quantité ci-dessous"
"Notify Low Stock RSS","RSS de notification de stock faible"
"Not Visible Individually","Non visible individuellement"
"Number of Products per Page","Nombre de produits par page"
"Number of Products to Display","Nombre de produits à afficher"
"Number of results","Nombre de résultats"
"Number of results (For the last time placed)","Nombre de résultats (Pour la dernière heure placée)"
"Number of Uses","Nombre d'utilisations"
"On Gesture","Au Geste"
"Option:","Option:"
"Options","Options"
"Options Control","Contrôle des options"
"Options is required","Les options sont requises"
"Option validation failed to add product to cart.","La validation de l'option n'a pas réussi à ajouter le produit au panier."
"Option values","Valeurs des options"
"Out of Stock","En rupture de stock"
"Out of stock","En rupture de stock"
"Pad resized images to exact dimensions with background color","Redimensionner les images à des dimensions exactes avec la couleur de fond"
"Page Title Separator","Séparateur de titre de page"
"Parent category is equal to child category.","La catégorie parente est égale à la catégorie enfant."
"Parent category was not found.","Catégorie parente introuvable."
"Parent Products","Produits Parents"
"Pending","En attente"
"Pending Reviews RSS","RSS des avis en attente"
"Percentage","Pourcentage"
"per page","par page"
"Please add rows to option.","Veuillez ajouter des lignes à l'option."
"Please click on the Close Window button if it is not closed automatically.","Veuillez cliquer sur le bouton Fermer la fenêtre si elle n'est pas fermée automatiquement."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Veuillez rafraîchir ""Réécritures d'URL du catalogue"" et ""Attributs du produit"" dans le système -&gt; <a href=""%s"">Gestion de l'index</a>"
"Please select a file for the required option ""%s"".","Veuillez sélectionner un fichier pour l'option ""%s""."
"Please select a parent category before adding a new one.","Veuillez sélectionner une catégorie parent avant d'en ajouter une nouvelle."
"Please select a static block ...","Veuillez sélectionner un bloc statique ..."
"Please select items.","Veuillez sélectionner des éléments."
"Please select one or more attributes.","Veuillez sélectionner un ou plusieurs attributs."
"Please select product(s).","Veuillez sélectionner le(s) produit(s)."
"Please select products for attributes update","Veuillez sélectionner les produits pour la mise à jour des attributs"
"Please specify date required option <em>%s</em>.","Veuillez spécifier la date requise option <em>%s</em>."
"Please specify the number of products, that will not be divided into subintervals.","Veuillez indiquer le nombre de produits qui ne seront pas divisés en sous-intervalles."
"Please specify the product's option(s).","Veuillez spécifier le(s) option(s) du produit."
"Please specify the product's required option(s).","Veuillez spécifier le(s) option(s) requise(s) du produit."
"Please specify the product required option(s)","Veuillez spécifier les options requises pour le produit"
"Please specify the product required option <em>%s</em>.","Veuillez spécifier l'option de produit requis <em>%s</em>."
"Please specify the quantity of product(s).","Veuillez spécifier la quantité de produit(s)."
"Please specify time required option <em>%s</em>.","Veuillez spécifier le temps requis option <em>%s</em>."
"Please wait...","Veuillez patienter..."
"Position","Position"
"Position in Layered Navigation","Position dans la navigation par filtres"
"Position of attribute in layered navigation block","Position de l'attribut dans le bloc de navigation par couches"
"Prev","Précédent"
"Previous","Précédent"
"Price","Prix"
"Price:","Prix :"
"Price: %s","Prix : %s"
"Price Navigation Step Calculation","Calcul de l'étape de la navigation des prix"
"Price Type","Type de prix"
"Price values for options should be specified in system base currency.","Les valeurs de prix pour les options doivent être spécifiées dans la devise de base du système."
"Product","Produit"
"Product Alerts","Alertes de produit"
"Product API","API produit"
"Product Attribute","Attribut produit"
"Product Attributes","Attributs du produit"
"Product attributes API","API d'attributs de produit"
"Product attribute sets API","API de jeux d'attributs de produits"
"Product Categories","Catégories de produits"
"Product collection expected.","Collection de produits attendue."
"Product Extra Info","Informations supplémentaires sur le produit"
"Product Flat Data","Données Flat du produit"
